category,table,target,detail
new_hub_key,BJAZ_HCF_MEMBER_DTLS,HUB_RISK_OBJECT,"composite: policy-scoped member (mapper Q1, hash-collision correction)"
new_hub_key,BJAZ_EC_MEM_DTLS_EXTN,HUB_RISK_OBJECT,composite: policy-scoped member
new_hub_key,BJAZ_CTNGY_PA_MEM_DTLS,HUB_RISK_OBJECT,composite; CONTRACT_ID exists in schema but was never processed in the mapping workbook at all
new_hub_key,BA_HCP_PROD_8428_GPG_LOADER,HUB_RISK_OBJECT,composite; MD_SEQ_NO never processed in the mapping workbook
new_hub_key,BA_HCP_PROD_8433_FHC_LOADER,HUB_RISK_OBJECT,composite; MD_SEQ_NO never processed in the mapping workbook
new_hub_key,BJAZ_HM_HCM_EXTRACT,HUB_LOSS_EVENT,"1:1 with claim (mapper Q2); shares raw value with this table's HUB_CLAIM key, disambiguated by hash namespacing"
new_hub_key,BJAZ_HM_INWARD_DTLS,HUB_LOSS_EVENT,1:1 with claim
new_hub_key,BJAZ_TPA_CLAIM_DETAILS_WS,HUB_LOSS_EVENT,1:1 with claim; TPA_CLAIM_NO was previously only a satellite_attribute (SAT_CLAIM_TPA_INTERACTION.TPA Reference)
new_hub_key,BJAZ_HM_HOSPITAL_MASTER,HUB_AGREEMENT,"hospital empanelment agreement, keyed by hospital (mapper Q4)"
new_hub_key,BJAZ_HM_HOSPITAL_MASTER_EXTN,HUB_AGREEMENT,empanelment cols EMPANEL/RE_EMPANEL/AGREEMENT_EXP/YEAR_EMPANELMENT confirm this is the agreement grain
new_hub_key,BJAZ_HM_HOSP_MASTER_EXTN1,HUB_AGREEMENT,
new_hub_key,BJAZ_REMEDINET_CLAIM_DETAILS,HUB_AGREEMENT,chosen over IRDA_ID (ambiguous/weaker per own mapping label 'insurer' identification); previously satellite_attribute
new_hub_key,BJAZ_GRP_HLT_DTLS,HUB_PROPOSAL,"proposal==quote identity in Health (mapper Q5); already HUB_QUOTE, namespacing keeps hkeys distinct"
new_hub_key,BJAZ_HG_POL_DTLS,HUB_PROPOSAL,
new_hub_key,BJAZ_TPA_CLAIM_DETAILS_WS,HUB_FINANCIAL_TRANSACTION,explicit txn key (mapper Q6)
new_hub_key,BJAZ_HM_HCM_EXTRACT,HUB_FINANCIAL_TRANSACTION,composite CLAIM_NO+UTR_NO per mapper Q6 ('if a standalone txn key is required')
new_hub_key,BJAZ_HM_HCM_EXTRACT,HUB_PAYMENT_INSTRUMENT,"mapper Q6: instrument identified by UTR_NO, alternate to existing CHEQUE_NO"
new_hub_key,BJAZ_TPA_CLAIM_DETAILS_WS,HUB_ORG_UNIT,mapper Q7
new_hub_key,BJAZ_TPA_CLAIM_DETAILS_WS,HUB_ORG_UNIT,"parent org unit for LNK_ORG_UNIT_HIERARCHY self-link, mapper Q7"
new_hub_key,BJAZ_HM_HCM_EXTRACT,HUB_LOCATION,mapper Q8
new_hub_key,BJAZ_HM_HOSPITAL_MASTER,HUB_LOCATION,"mapper Q8; hub-completeness only, does not itself resolve SAT_COMMON_ADMIN_GEOGRAPHY (see sat_parent_overrides)"
new_hub_key,BJAZ_HM_POLICY_USERMAPPING,HUB_PARTY,"mapper Q9; internal user party, was satellite_attribute only"
removed_hub_key,BJAZ_HM_HOSPITAL_MASTER_EXTN,HUB_POLICY,"confirmed wrong: REG_NO is the hospital's own registration number (own rationale text says so), not a policy reference. Mapper Q11."
sat_reanchor,BJAZ_GRP_TPA_EXTN,SAT_FIN_CHARGE_RATE -> HUB_POLICY,"mapper Q6: TPA charge-rate table is policy-grain, keyed by CONTRACT_ID (already tagged), not a financial transaction"
sat_reanchor,BJAZ_HM_HOSPITAL_MASTER_EXTN,SAT_COMMON_ADMIN_GEOGRAPHY -> HUB_PARTY,"mapper Q8: 'let the EXTN geography ride the same HOSID' -- re-anchor to the provider party, not a new HUB_LOCATION key"
sat_reanchor,BJAZ_HM_HOSPITAL_MASTER,SAT_COMMON_STATUS -> HUB_PARTY,"mapper Q11: HOS_STATUS is hospital empanelment status, keyed by HOSID, not a policy status"
sat_reanchor,BJAZ_HM_OUTWARD_DTLS,SAT_PARTY_CORRESPONDENCE -> HUB_CLAIM,"mapper Q9: recipient is name-only, no party-id column exists; row is claim-grain (CLAIM_ID already tagged)"
sat_reanchor,BJAZ_ECARD_POL_DTLS_CONFIG,SAT_PRODUCT_HEALTH_MEMBERSHIP_RULES -> HUB_POLICY,mapper Q10: not product-scoped; table already keys HUB_POLICY via POLICY_REF
sat_reanchor,BJAZ_ECARD_POL_DTLS_CONFIG,SAT_PRODUCT_RATING_FACTOR -> HUB_POLICY,mapper Q10: same as above
explicit_link_key,BJAZ_PMJAY_PRMBOOK_DTLS,LNK_POLICY_ENDORSEMENT,"mapper Q16: confirmed endorsement sequence, same single-hub-link pattern as LNK_PARTY_ROLE"
self_link_confirmed,BJAZ_GRP_HLT_DTLS,LNK_POLICY_RENEWAL,"mapper Q15 (confirmed, narrowed from original Q15 answer): renewal, not portability. PREV_POLICY_NO/FIRST_POLICY_REF/CON_POLICY_REF are SAT_POLICY_PORTABILITY_MIGRATION (a different insurer's policy number) and are explicitly excluded."
ref_master,BJAZ_HM_EXCLUSION_MASTER,REF_EXCLUSION,"mapper Q18: confirmed master, previously zero mapped rows"
STILL_OPEN,,,"LNK_PARTY_RELATIONSHIP / LNK_PARTY_GROUP (mapper Q14): needs the SPECIFIC column that carries the proposer's own distinct party identifier (separate from the member's) on a concrete table -- 'pair proposer key with member key' was conceptual, not a cited column, and building this without one repeats the exact redundant-pairing mistake already caught in the original build."
STILL_OPEN,,,HUB_PROPOSAL on BA_HCP_PROD_8433_FHC_LOADER and BJAZ_EC_MEM_DTLS_EXTN (mapper Q5): no concrete column was cited for these two tables specifically (only BJAZ_HG_POL_DTLS/BJAZ_GRP_HLT_DTLS's QUOTE_REF_NO was).
STILL_OPEN,,,HUB_FINANCIAL_TRANSACTION on BJAZ_PMJAY_PRMBOOK_DTLS and BJAZ_REMEDINET_CLAIM_DETAILS (mapper Q6): no concrete column was cited for these two.
